id,text,user_id,pre_lab
1123899479709638656,"@maschmeyer @KuehniKev @maschmeyer 
Sind sie sehr dumm?",406690685,0
1123904626120634369,DER ARSCH AMERIKAS #AvengersEndgame,1470824971,0
1123892722681765895,RT @hawresulin: fascho iraker haben immer größte fresse junge wenns ne regierung gibt die schlimmer als die kurdische ist dann ist es eure…,2308277945,0
1123894043883311104,"RT @krippmarie: AfD: Mehr als elf Millionen Arbeitnehmern droht Armutsrente - Regierung fehlt Konzept

Aber #Merkel jetted nach Afrika..ist…",950791303448743938,0
1124116069369688064,@nrwzum0 hör mal zu #manuvoice ich pack dich jetzt in die gruppe und wir schieben lachkicks,1598937434,0
1124111547918368769,"@Emzie36869466 @david_c_eckert Gehen die Geschlechterrollen, bekommen Frauen keine Kinder. 

Islamisierung findet s… https://t.co/bjm2DmcUWc",1002306080075059200,0
1124132905318473729,Arsch Arsch Arsch Arsch Arsch und Titten,745731355514896384,0
1124093202011701252,"@politicalbeauty #naziaufmärsche können nicht unter freie meinungsäusserung, demorecht, genemigt werden, da nazis g… https://t.co/laRGYIErrm",3309290415,0
1124008967838081024,RT @MOKoffiziell: diese dinger machen frauen 9000% unattraktiver https://t.co/jCBoQZDAQa,1040931903585624065,0
1123996615591759875,"RT @toxicsugga: Mein Jeansarsch drückt dein Hirn zu Brei🐷
Kontaktiere mich ⬇️
https://t.co/gbjlWRGrHu
&amp; lass dich geil von mir abmelken💸

@…",913689707833384962,0
1124000633739149313,"RT @lawyerberlin: #Linke und #Grüne wollen enteignen, die Medien kontrollieren, ganze Dörfer zwangsumsiedeln, Kritiker wie Palmer oder Sarr…",969518986034667520,0
1124009857005363201,"RT @kuppp005: Und in Deutschland werden langsam die Abfalleimer knapp: 
Merkel in der Sahelzone : Deutschland muss noch mehr für Afrika tun…",3381707955,0
1124005482367156224,"@Him_Baere @IngoNorge @RHNGS @lawyerberlin Nee, das erinnert zu sehr an die linken Hetzer.

Sie wachen erst auf, we… https://t.co/VjlyQoRleu",759278127264694272,0
1124005654304305152,RT @SBaroSpeller: @STornax @BILD Die Flüchtlinge sind keine Flüchtlinge sondern aggressive Invasoren!,1106213441080098816,0
1124005843056377857,"Am krank sein hasse ich am meisten die Gliederschmerzen...
Ohne scheiß, welcher Vollhorst hat das denn bitte erfunden!??",1635016334,0
1124004148549246982,"@FrauElo ein sempfglas! wie damals, bei meiner oma in der ddr!",76797557,0
1124001627797692419,Will ich mich verlieben oder bin ich einfach nur dumm?,873966130343407616,0
1123995634116300802,"@Scyltara @MartinaZann Es fehlen Ötzemir Özekuz Barlay CHEBLI Lauterbach Stegner Roth Fahimi Künast 
Schulz K.Schul… https://t.co/3A7GWGf2k3",1110469049060855810,0
1124007076194332672,"RT @toxicsugga: Mein Jeansarsch drückt dein Hirn zu Brei🐷
Kontaktiere mich ⬇️
https://t.co/gbjlWRGrHu
&amp; lass dich geil von mir abmelken💸

@…",747468027524972544,0
1123996489745870849,"@WELTnews Kein Wunder, wenn sich unsere beiden deutschen Kirchen Oberhäupter vor dem Islam in den Staub werfen und… https://t.co/ZYIuCEy7pW",1568231288,0
1123999866160545796,"@achtmannstark ja das schon, das ist ein Hurensohn move, keine Frage",1097246658604294144,0
1124000025581895683,"RT @MontanaBlack: Lass doch einfach treffen und sag mir das alles ins Gesicht :) Mann oder Mädchen,du entscheidest. 
Hab immer für dich Zei…",2714267502,0
1123996020000591874,@Saint_More17 M8 dein fake Deep/ Pseudo Intellektueller scheiß geht mir richtig auf den Sack aber deine Outfits sin… https://t.co/mgs3c7Ad5H,988849541830103040,0
1123960880113311744,@yooli_derechte @MontanaBlack Was für ein unglaublicher Hurensohn,2960010045,0
1123960234186350594,"RT @MontanaBlack: Lass doch einfach treffen und sag mir das alles ins Gesicht :) Mann oder Mädchen,du entscheidest. 
Hab immer für dich Zei…",931421150143504385,0
1123962817898602498,"RT @Persia_Warrior: Der Islam gehört einfach nicht in Großbritannien oder in ein westliches Land.

Das Verbot des Kopftuches sollte der ers…",1119706603857633280,0
1123954865506484229,#bitte1bitcoin – Neue deutsche Bitcoin-Automaten-Initiative https://t.co/TA6ChmRtgk,917472242338009088,0
1123961328907976711,@robdoubleyoo @mialleixa34 Idiot! Hitler was veg and nazis were pro animals!!! Sionist!!!,1029433688,0
1123956811659382784,"RT @MontanaBlack: Lass doch einfach treffen und sag mir das alles ins Gesicht :) Mann oder Mädchen,du entscheidest. 
Hab immer für dich Zei…",3372996364,0
1123952055310270470,"@AliCologne Gemeinsam mit den Linken, wird es der politische Islam und damit die Scharia schaffen, sich in Deutschland einzuschleichen",2216925667,0
1123952260810145793,"RT @Europarl_DE: Die Zeit läuft! ⏰ Vergiss nicht, dich als Expat ins deutsche Wählerverzeichnis für die Europawahl 🇪🇺 einzutragen!",2296454552,0
1123930517571809282,Mathe ist einfach,2196816119,0
1123923940877975554,Lass uns einfach mal Dopamin vergeuden ✨,3549659235,0
1123921973778763780,"RT @VonErlenbach: @NiemaMovassat @BolzAndrea NATÜRLICH! WIR DEUTSCHE sind doch ohnehin alle Nazis, nicht wahr? ""Ist der Ruf erst ruiniert,…",822747970554761217,0
1123929376708538368,RT @DrThomasBruns: Wo sind unsere linken Feministinnen? https://t.co/TXme8qKeoz,911316537423917057,0
1123972469000409088,versucht einfach auch mal,1113130801309368321,0
1123972611598319617,"RT @_Foseti_: sie kriegen einfach den hals nicht voll...
https://t.co/n1MR1yq1Pq",866335089273315328,0
1123968803149438977,@janboehm nachdem ihr SJW's angefangen habt alles zwischen dieter bohlen und adolf hitler als &gt;nazi&lt; zu deklarieren… https://t.co/ImM2RYule5,1108934497381179394,0
1123971936315486215,"RT @CanellaBini: Ich glaube, die meisten Brüste sind einfach nur da, um vom Gesicht abzulenken.",835841167,0
1123967511303733251,@Auristrahl chillen und einfach chillen,543465915,0
1123977359537967109,"RT @OomenBerlin: Das traurige an #Plauen ist ja, dass sich ein großer Teil der Leute, die sich über marschierende Nazis aufregen, halt auch…",811090079880007680,0
1123856349681655808,@BenAbdelazizC @Thannith_ islam scrogneugneu !! https://t.co/u50U1JkTiT,968100388686753792,0
1123849450034741248,RT @Sharebenhaufen: Nachhaltig dumm. https://t.co/Sj3Tj2EmxR,873935508,0
1123845863929982977,@b_gabelle Die Österreicher waren halt immer schon die besseren nazis Sozialisten usw 😂😂😂,914222168568991745,0
1123849164851425281,"RT @KHinnek: Erding: Grüne Stadträtin verleumdet Stürzenberger „Verurteilter Nazi“

https://t.co/Fvb2LcWoLt",1514525503,0
1123855804409552896,Juso-Chef: Die radikal linken Tagträume des Kevin Kühnert - WELT https://t.co/zSojmCfqdr,359479844,0
1123852520290435072,@ferraeterin Weil feige Nazis nicht wie Nazis aussehen wollen https://t.co/6yz605OuvO,155490282,0
1123844723070914562,@ProjectUrsu Naja. Langhaarkatzen sollte man schon ab und zu schneiden. Ob das jetzt ein Dino sein muss...naja.,183850012,0
1123850116929085442,"@tagesschau @ConstSchreiber @ardmoma Der ganze Islam ist Gehirnwäsche, der Koran ist voll von Aufrufen zur Unterdrü… https://t.co/1iQXJvkFsH",1112442647740932096,0
1123846862178590720,RT @Imageberatungen: @erneut @DrDavidBerger Merkel tritt nie und nimmer freiwillig ab - die hat soviele Leichen im Keller mit ihren Schleim…,1094837822991810560,0
1123851392031051778,RT @MOKoffiziell: diese dinger machen frauen 9000% unattraktiver https://t.co/jCBoQZDAQa,854497324986503168,0
1123851522046140416,Hitler macht kein Deutschrap 6:1 hitler,1115160753999360000,0
1123849009641218049,"RT @lawyerberlin: #Linke und #Grüne wollen enteignen, die Medien kontrollieren, ganze Dörfer zwangsumsiedeln, Kritiker wie Palmer oder Sarr…",294561914,0
1124122994173988864,"RT @helllud123: Unsere alternativlose Gottkanzlerin Merkel sammelt gerade wieder überall illegale Einwanderer ein, die der deutsche Maloche…",105099914,0
1124120632776589313,"@HeikoMaas "" Netzwerke "" - was für ein dummes Wort ...     Meint
Icke",729388592850710535,0
1123864557947105281,"@FairDest @Cloafleev1606 @BlizzardCSEU_DE @Warcraft_DE Naja, wenn wir schon so anfangen ist das Wort ""Hurensohn"" auch fehl am Platz.",722503019217174529,0
1123861332497924097,"RT @Europakonzept: @ZDFheute Dann soll Frau Merkel erst mal die Sicherheitsversprechen des Schengen Abkommens einhalten, die sie gegenüber…",1073321411375230976,0
1123866936109162498,RT @gerhardschwar11: @Virgen48 @DerWanderer4 Nazis sind keine Samba-Truppe..!👍,1920162312,0
1123860187457126401,"@ZDFheute Und die #Wohnungsbelegung zu reglementieren
Als raus mit der #Omi aus der 3-Raum-Wohnung in Berlin-Mitte… https://t.co/bIZMQbEC0Y",1279775011,0
1123863765206863880,"RT @krippmarie: AfD: Mehr als elf Millionen Arbeitnehmern droht Armutsrente - Regierung fehlt Konzept

Aber #Merkel jetted nach Afrika..ist…",2475320269,0
1123872527091150848,"@PSPresseschau @Dr_Huettl @janboehm Mir macht ein „demokratisches“ System, das Polizei benützt, um Nazis zu schütze… https://t.co/eteydD5dcN",955749930,0
1123862037136801793,@welt WS ist das für ein Spinner.,811197430557446144,0
1123871755360247808,"Das Kopftuch und die Linke - Wie faschistisch ist die Antifa? -  https://t.co/TIDDeQpB4G Zukunft Leben

Ist der Kam… https://t.co/KbOM9P3FQz",2580947964,0
1123862305597534215,"RT @KHinnek: Erding: Grüne Stadträtin verleumdet Stürzenberger „Verurteilter Nazi“

https://t.co/Fvb2LcWoLt",1023444346903973889,0
